epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.0491,2.66305,3.65186,1.8655,0.01111,0.38462,0.00984,0.00352,2.35601,3.47197,1.92522,6e-05,6e-05,6e-05
2,71.7374,2.37058,3.46098,1.63059,0.01556,0.53846,0.02217,0.00909,2.07162,3.42345,1.76608,0.000137228,0.000137228,0.000137228
3,103.893,2.29161,2.9615,1.50235,0.01667,0.57692,0.02938,0.01037,1.90504,3.421,1.70414,0.000211288,0.000211288,0.000211288
4,135.297,2.21257,2.2732,1.38734,0.02,0.69231,0.05124,0.01627,2.0862,3.04797,1.6347,0.00028218,0.00028218,0.00028218
5,166.805,2.06354,1.94568,1.30552,0.02667,0.92308,0.09473,0.02812,1.97802,3.00514,1.53195,0.000349904,0.000349904,0.000349904
6,203.226,2.04371,1.80286,1.30069,0.02111,0.73077,0.04822,0.01474,1.96671,3.07197,1.60658,0.00041446,0.00041446,0.00041446
7,249.865,2.03085,1.7994,1.33484,0.02556,0.88462,0.05733,0.0164,1.93381,3.02448,1.58798,0.000475848,0.000475848,0.000475848
8,285.614,1.95165,1.80569,1.28114,0.02,0.69231,0.04876,0.01486,2.08576,3.15288,1.74615,0.000534068,0.000534068,0.000534068
9,320.309,1.89806,1.6578,1.33159,0.02,0.69231,0.053,0.01656,2.15015,3.1472,1.73986,0.00058912,0.00058912,0.00058912
10,356.268,1.87332,1.65174,1.29631,0.02222,0.76923,0.19026,0.06039,2.13728,3.07918,1.73392,0.000641004,0.000641004,0.000641004
11,390.904,1.86445,1.69292,1.30192,0.01111,0.38462,0.01613,0.00414,2.83619,3.65365,2.43716,0.00068972,0.00068972,0.00068972
12,425.53,1.8011,1.57972,1.28907,0.01889,0.65385,0.04313,0.01751,2.0498,3.19146,1.68704,0.000735268,0.000735268,0.000735268
13,469.959,1.76986,1.47717,1.23157,0.02111,0.73077,0.13167,0.04463,1.98709,3.08378,1.6224,0.000777648,0.000777648,0.000777648
14,507.76,1.70589,1.50425,1.23638,0.01889,0.65385,0.07749,0.0344,1.9959,3.19282,1.66303,0.00081686,0.00081686,0.00081686
15,542.863,1.68265,1.44305,1.20175,0.02632,0.30769,0.16472,0.0568,2.05359,3.13667,1.6793,0.000852904,0.000852904,0.000852904
16,577.287,1.66269,1.45895,1.21717,0.56166,0.15385,0.28522,0.10991,2.03007,2.91836,1.62165,0.00088578,0.00088578,0.00088578
17,611.58,1.63318,1.38787,1.18515,0.46926,0.19231,0.32466,0.12037,2.01602,2.75018,1.60195,0.000915488,0.000915488,0.000915488
18,648.94,1.60947,1.30113,1.15917,0.55971,0.29403,0.29951,0.11542,2.12738,2.68159,1.69653,0.000942028,0.000942028,0.000942028
19,684.843,1.64194,1.33568,1.15291,0.49361,0.30769,0.32446,0.11756,2.12132,2.72196,1.70663,0.0009654,0.0009654,0.0009654
20,722.224,1.57927,1.3312,1.20648,0.56699,0.26923,0.27698,0.09872,2.18054,2.82566,1.77368,0.000985604,0.000985604,0.000985604
21,758.424,1.57304,1.285,1.16333,0.36947,0.26923,0.3199,0.14049,2.18176,2.69337,1.7274,0.00100264,0.00100264,0.00100264
22,793.524,1.47027,1.2092,1.09923,0.39587,0.30267,0.33541,0.14465,2.20525,2.64912,1.71419,0.00101651,0.00101651,0.00101651
23,827.834,1.58014,1.25844,1.15538,0.37171,0.34615,0.29309,0.13489,2.10551,2.54108,1.65052,0.00102721,0.00102721,0.00102721
24,867.633,1.52432,1.24467,1.13574,0.40925,0.38462,0.30296,0.14562,2.03949,2.44594,1.58682,0.00103474,0.00103474,0.00103474
25,911.526,1.47782,1.20217,1.12973,0.59374,0.38462,0.38963,0.15523,2.06261,2.25619,1.55856,0.0010391,0.0010391,0.0010391
26,948.393,1.53771,1.23796,1.09756,0.42899,0.49145,0.41547,0.17786,2.07457,2.24502,1.5417,0.00101,0.00101,0.00101
27,982.291,1.53354,1.23435,1.13218,0.44592,0.43364,0.35146,0.16209,1.98819,2.30944,1.55206,0.0009704,0.0009704,0.0009704
28,1017.32,1.55385,1.16548,1.09743,0.54645,0.30769,0.32327,0.15846,2.01427,2.35896,1.61617,0.0009308,0.0009308,0.0009308
29,1051.72,1.51719,1.18708,1.10759,0.55857,0.34097,0.33016,0.16442,2.03182,2.2916,1.63196,0.0008912,0.0008912,0.0008912
30,1085.58,1.40769,1.16208,1.0709,0.47695,0.34615,0.31735,0.15812,2.09705,2.258,1.66155,0.0008516,0.0008516,0.0008516
31,1119.81,1.41783,1.20472,1.1166,0.43042,0.40729,0.36527,0.1775,2.06787,2.19645,1.65496,0.000812,0.000812,0.000812
32,1154.72,1.42368,1.13978,1.0919,0.41682,0.42308,0.37397,0.18308,2.03051,2.2022,1.63075,0.0007724,0.0007724,0.0007724
33,1188.13,1.40948,1.14973,1.07755,0.45973,0.5,0.47899,0.20558,2.05342,2.09766,1.59278,0.0007328,0.0007328,0.0007328
34,1223.09,1.368,1.10666,1.0671,0.73359,0.34615,0.46044,0.212,1.96588,2.13929,1.56018,0.0006932,0.0006932,0.0006932
35,1257.56,1.37732,1.12112,1.06602,0.73786,0.34615,0.4294,0.21644,1.9604,2.15093,1.58369,0.0006536,0.0006536,0.0006536
36,1291.5,1.3842,1.11108,1.08133,0.74807,0.34288,0.42373,0.20137,1.97045,2.21452,1.58376,0.000614,0.000614,0.000614
37,1324.99,1.32057,1.02399,1.05571,0.74885,0.34421,0.46225,0.20945,1.96041,2.18614,1.59939,0.0005744,0.0005744,0.0005744
38,1369.48,1.33573,1.04446,1.03127,0.74964,0.34554,0.48422,0.19987,2.0061,2.1218,1.62289,0.0005348,0.0005348,0.0005348
39,1412.88,1.32534,1.05862,1.0551,0.65266,0.38462,0.49775,0.20695,2.04005,2.09292,1.64563,0.0004952,0.0004952,0.0004952
40,1456.27,1.30443,1.04997,1.03959,0.59949,0.34615,0.41283,0.18208,2.07039,2.16127,1.66069,0.0004556,0.0004556,0.0004556
41,1495.03,1.34626,1.29793,1.05733,0.69908,0.30769,0.38204,0.16674,2.07802,2.22779,1.6745,0.000416,0.000416,0.000416
42,1525.38,1.29005,1.16878,1.05413,0.68577,0.30769,0.3592,0.15151,2.10918,2.27248,1.72744,0.0003764,0.0003764,0.0003764
43,1555.49,1.27101,1.13137,1.04829,0.76632,0.30769,0.37575,0.14234,2.11236,2.27646,1.74892,0.0003368,0.0003368,0.0003368
44,1585.28,1.27094,1.13109,1.04681,0.73153,0.30769,0.38185,0.15665,2.04235,2.23376,1.71367,0.0002972,0.0002972,0.0002972
45,1615.03,1.25683,1.13711,1.02851,0.7826,0.30769,0.40187,0.17533,1.99524,2.16879,1.68332,0.0002576,0.0002576,0.0002576
46,1644.94,1.2407,1.08254,1.02193,0.71079,0.42308,0.51195,0.20694,1.96792,2.0731,1.64207,0.000218,0.000218,0.000218
47,1674.71,1.21784,1.06041,1.04014,0.70102,0.42308,0.51601,0.223,1.9637,1.97557,1.63132,0.0001784,0.0001784,0.0001784
48,1704.44,1.13963,1.05664,1.00663,0.69345,0.38462,0.51308,0.21063,1.96773,1.93789,1.63049,0.0001388,0.0001388,0.0001388
49,1734.42,1.20688,1.07314,1.03266,0.67219,0.42308,0.50406,0.20284,1.9707,1.93144,1.62337,9.92e-05,9.92e-05,9.92e-05
50,1764.18,1.16156,1.0204,1.00955,0.72765,0.42308,0.50226,0.19625,1.99398,1.94157,1.625,5.96e-05,5.96e-05,5.96e-05
